file,component,Minimal time,Solve time,CPU Time
70-c880cnf.txt.txt,7,0.000394,0.001302,0.006733
47-c880cnf.txt.txt,8,0.000458,0.001921,0.012162
3-c880cnf.txt.txt,14,0.000251,0.001105,0.006202
37-c880cnf.txt.txt,18,0.000357,0.001649,0.008259
42-c880cnf.txt.txt,10,0.000424,0.001270,0.006569
19-c880cnf.txt.txt,11,0.000228,0.001100,0.006454
58-c880cnf.txt.txt,9,0.000428,0.001308,0.00753
57-c880cnf.txt.txt,16,0.000238,0.001116,0.00743
98-c880cnf.txt.txt,17,0.000707,0.002093,0.011188
10-c880cnf.txt.txt,15,0.000232,0.001104,0.006613
7-c880cnf.txt.txt,13,0.000287,0.001174,0.006272
97-c880cnf.txt.txt,9,0.000477,0.001416,0.009194
45-c880cnf.txt.txt,13,0.000403,0.001275,0.008918
53-c880cnf.txt.txt,18,0.000422,0.001329,0.007642
22-c880cnf.txt.txt,16,0.000336,0.001235,0.00661
44-c880cnf.txt.txt,6,0.000450,0.001816,0.010473
29-c880cnf.txt.txt,15,0.000430,0.001264,0.00649
55-c880cnf.txt.txt,15,0.000234,0.001084,0.007622
65-c880cnf.txt.txt,9,0.000559,0.001532,0.007199
39-c880cnf.txt.txt,19,0.000276,0.001264,0.007956
82-c880cnf.txt.txt,8,0.000280,0.001139,0.007415
6-c880cnf.txt.txt,16,0.000426,0.001934,0.012423
31-c880cnf.txt.txt,11,0.000369,0.001227,0.006643
35-c880cnf.txt.txt,18,0.000637,0.001921,0.009896
94-c880cnf.txt.txt,11,0.000225,0.001061,0.006379
14-c880cnf.txt.txt,12,0.000445,0.001314,0.006489
79-c880cnf.txt.txt,7,0.000427,0.001289,0.007721
38-c880cnf.txt.txt,14,0.000367,0.001400,0.006614
88-c880cnf.txt.txt,13,0.000249,0.001099,0.007339
33-c880cnf.txt.txt,8,0.000541,0.001589,0.007879
40-c880cnf.txt.txt,10,0.000445,0.001295,0.007697
89-c880cnf.txt.txt,16,0.000251,0.001387,0.007826
61-c880cnf.txt.txt,7,0.000272,0.001110,0.006202
62-c880cnf.txt.txt,13,0.000544,0.001538,0.006609
54-c880cnf.txt.txt,8,0.000272,0.001116,0.006288
11-c880cnf.txt.txt,22,0.000236,0.001090,0.007285
73-c880cnf.txt.txt,12,0.000207,0.001091,0.005614
25-c880cnf.txt.txt,15,0.000455,0.001354,0.007738
27-c880cnf.txt.txt,18,0.000223,0.001059,0.007187
17-c880cnf.txt.txt,17,0.000471,0.001848,0.010942
75-c880cnf.txt.txt,5,0.000447,0.001275,0.007502
