size,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
50,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00297900/1,0.00857200/2,0.00409700/1,0.01978100/5,0.02889100/8,0.01875100/5,0.02224400/7,0.03617400/9,0.03451600/10,0.03231300/10,0.03441500/10
100,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.01151400/1,0.00000000/0,0.04442900/2,0.05331300/4,0.14437500/9,0.09830500/7,0.12396400/10,0.12637700/10,0.11667400/9,0.09607300/10,0.09922500/10
150,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.41990800/1,0.29095300/2,0.59471800/4,1.07420000/8,0.60300200/6,0.71559600/8,0.88429400/10,0.66123800/10,0.53829000/10,0.45828500/10,0.46299700/9
