file,component,Minimal time,Solve time,CPU Time
c6288-20.txt.txt,90,0.035530,0.054885,0.075956
c6288-37.txt.txt,142,0.006542,0.012055,0.033951
c6288-99.txt.txt,27,0.089978,0.101491,0.122396
c6288-53.txt.txt,155,0.035263,0.043949,0.064721
c6288-12.txt.txt,124,0.015790,0.043129,0.075104
c6288-67.txt.txt,121,0.082812,0.093237,0.114126
c6288-22.txt.txt,124,0.016787,0.025554,0.047548
c6288-63.txt.txt,164,0.037169,0.044084,0.064853
c6288-76.txt.txt,35,0.099519,0.106975,0.12683
c6288-81.txt.txt,24,0.096104,0.121450,0.141491
c6288-85.txt.txt,197,0.005465,0.011232,0.034462
c6288-87.txt.txt,42,0.078689,0.106688,0.14118
c6288-30.txt.txt,116,0.031663,0.041993,0.065709
c6288-15.txt.txt,194,0.001936,0.009034,0.029896
c6288-32.txt.txt,26,0.640894,0.652817,0.673132
c6288-42.txt.txt,91,0.306346,0.317665,0.337698
c6288-11.txt.txt,36,0.253254,0.270201,0.29006
c6288-31.txt.txt,92,0.119545,0.128936,0.148736
c6288-29.txt.txt,65,0.194265,0.206147,0.226099
c6288-2.txt.txt,0,0.001792,0.005535,0.027747
c6288-45.txt.txt,29,0.155315,0.167311,0.189697
c6288-8.txt.txt,171,0.133279,0.141784,0.163836
c6288-59.txt.txt,128,0.003085,0.010156,0.031536
c6288-84.txt.txt,8,0.005977,0.021305,0.042481
c6288-82.txt.txt,214,0.009741,0.016491,0.037057
c6288-5.txt.txt,68,0.079314,0.091809,0.112046
c6288-73.txt.txt,18,0.191159,0.207653,0.229958
c6288-95.txt.txt,211,0.043635,0.053395,0.07464
c6288-78.txt.txt,41,0.723660,0.736615,0.756346
c6288-89.txt.txt,115,0.224268,0.235987,0.258678
c6288-83.txt.txt,45,0.382821,0.401420,0.423227
c6288-28.txt.txt,18,0.072072,0.096431,0.118836
c6288-79.txt.txt,79,0.361425,0.370012,0.39107
c6288-52.txt.txt,20,0.010385,0.026902,0.050938
c6288-33.txt.txt,171,0.066632,0.073601,0.096613
c6288-74.txt.txt,107,0.072744,0.087004,0.107141
c6288-58.txt.txt,16,0.076124,0.093400,0.121318
c6288-94.txt.txt,97,0.117019,0.128332,0.148158
c6288-40.txt.txt,108,0.211218,0.225184,0.246068
c6288-43.txt.txt,234,0.062467,0.075082,0.111984
c6288-7.txt.txt,57,0.004762,0.012280,0.032949
c6288-17.txt.txt,16,0.003026,0.006912,0.028928
c6288-60.txt.txt,66,0.246553,0.261717,0.283874
c6288-19.txt.txt,1,0.001735,0.005309,0.029357
c6288-0.txt.txt,21,0.139489,0.151043,0.172084
c6288-21.txt.txt,19,0.144768,0.153968,0.175739
c6288-98.txt.txt,209,0.003445,0.010809,0.033395
c6288-92.txt.txt,31,0.003324,0.009748,0.031062
c6288-64.txt.txt,0,0.003254,0.009422,0.03551
c6288-97.txt.txt,203,0.020740,0.028854,0.051146
c6288-41.txt.txt,76,0.003018,0.006855,0.028708
c6288-54.txt.txt,62,0.037302,0.045820,0.065032
c6288-91.txt.txt,109,0.177288,0.185471,0.207844
c6288-3.txt.txt,223,0.049644,0.057245,0.079883
c6288-34.txt.txt,16,0.002991,0.006957,0.027964
c6288-36.txt.txt,21,0.105128,0.116280,0.137401
c6288-26.txt.txt,34,0.134453,0.153023,0.184886
c6288-77.txt.txt,108,0.260545,0.274272,0.29491
c6288-66.txt.txt,53,0.474143,0.486746,0.509459
c6288-4.txt.txt,109,0.422815,0.438213,0.46206
