size,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
200,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,16.22161000/2,0.00000000/0,12.69572000/2,16.49022000/7,18.21344500/10,15.24177900/10,9.20723600/10,6.30000400/10,4.84630400/10,4.94787500/10,4.30610000/10
250,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,39.60200000/1,115.68070000/5,261.21679000/9,187.42598000/9,90.02283000/9,65.71756000/10,65.31201000/10,43.54270000/10,31.37461000/10,34.82622000/10
300,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,1323.45900000/3,3426.73500000/8,1875.82600000/9,1469.45650000/10,1365.70140000/10,1157.12890000/10,373.35070000/10,273.65147000/10,228.39700000/10
