size,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
200,0.09054200/10,0.09145200/10,0.10350300/10,0.13729500/10,0.14162900/10,0.16867800/10,0.25093800/10,0.33144600/10,0.62349100/10,0.51903200/10,1.29527500/8,5.02950200/10,5.90488400/8,2.58223800/3,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
250,0.11906500/10,0.13391000/10,0.14427500/10,0.20089300/10,0.22809900/10,0.23670500/10,0.53553500/10,0.65622300/10,1.75625000/10,4.48517700/10,30.76842200/10,24.59526000/9,10.32772000/5,5.02234000/1,3.61449000/1,4.75877000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
300,0.09873500/10,0.12485500/10,0.17827500/10,0.24630500/10,0.21123700/10,0.60383500/10,0.52596400/10,0.77864000/10,3.22376000/10,19.50206300/10,52.67488300/10,129.09384700/10,621.28318700/7,224.75860000/2,290.66000000/1,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
