file,component,Minimal time,Solve time,CPU Time
c7552-72.txt.txt,57,0.040412,0.076944,0.127087
c7552-4.txt.txt,36,0.060758,0.110788,0.163921
c7552-8.txt.txt,27,0.034085,0.057317,0.108323
c7552-93.txt.txt,50,0.033619,0.065246,0.114237
c7552-7.txt.txt,33,0.036687,0.052614,0.113858
c7552-99.txt.txt,33,0.011104,0.077814,0.14124
c7552-68.txt.txt,47,0.068211,0.097936,0.149265
c7552-14.txt.txt,25,0.066794,0.094139,0.149104
c7552-37.txt.txt,25,0.014451,0.036715,0.090572
c7552-22.txt.txt,56,0.077069,0.103703,0.154279
c7552-48.txt.txt,36,0.017523,0.038460,0.092214
c7552-96.txt.txt,35,0.014449,0.030416,0.085359
c7552-6.txt.txt,44,0.041643,0.071927,0.125865
c7552-21.txt.txt,42,0.041096,0.091120,0.140626
c7552-64.txt.txt,46,0.040293,0.075846,0.12602
c7552-98.txt.txt,41,0.019059,0.054378,0.102822
c7552-27.txt.txt,37,0.021034,0.038273,0.105203
c7552-76.txt.txt,45,0.025825,0.074404,0.127095
c7552-58.txt.txt,44,0.018503,0.040914,0.090338
c7552-70.txt.txt,33,0.036855,0.084898,0.14348
c7552-55.txt.txt,41,0.010252,0.030126,0.084633
c7552-46.txt.txt,38,0.032682,0.063913,0.12724
c7552-31.txt.txt,49,0.042137,0.075226,0.12854
c7552-12.txt.txt,41,0.021599,0.059189,0.10972
c7552-40.txt.txt,38,0.018949,0.050653,0.112163
c7552-78.txt.txt,52,0.083540,0.108732,0.158138
c7552-71.txt.txt,32,0.007075,0.039259,0.089434
c7552-81.txt.txt,38,0.033774,0.066040,0.119947
c7552-97.txt.txt,46,0.020357,0.047433,0.100717
c7552-75.txt.txt,19,0.030483,0.053614,0.104848
c7552-10.txt.txt,59,0.025583,0.059327,0.114285
c7552-16.txt.txt,37,0.061818,0.095411,0.145709
c7552-61.txt.txt,29,0.022560,0.066188,0.120186
c7552-63.txt.txt,25,0.005931,0.023887,0.075239
c7552-20.txt.txt,51,0.035697,0.076872,0.126728
c7552-33.txt.txt,20,0.026050,0.068692,0.124237
