size,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
500,0.30461900/10,0.35447500/10,0.35410600/10,0.42827800/10,0.50804400/10,1.00503100/10,6.08790300/10,93.17113800/10,475.95091300/10,705.50644200/10,2355.05369000/7,965.43900000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
550,0.57009900/10,0.56075700/10,0.74106400/10,0.75764000/10,1.16409700/10,1.33364100/10,34.52830500/10,43.77147500/10,530.36124000/10,1532.16502000/8,1460.23750000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
