size,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
50,0.03294900/10,0.03174000/10,0.03376100/10,0.03179800/10,0.03546700/10,0.02753600/10,0.03812600/10,0.04080900/10,0.03283000/10,0.04216500/10,0.03937600/9,0.03634400/8,0.02329300/9,0.01024100/5,0.00632500/2,0.01442400/5,0.00948500/3,0.00254600/1,0.00000000/0,0.00000000/0,0.00000000/0
100,0.04433800/10,0.04480700/10,0.03744400/10,0.04585300/10,0.04178800/10,0.04599200/10,0.05403700/10,0.05476300/10,0.05696500/10,0.06224900/10,0.09513600/9,0.08615500/10,0.07519600/8,0.04664300/6,0.00748400/1,0.04356200/3,0.00000000/0,0.00000000/0,0.00880300/1,0.00000000/0,0.00000000/0
150,0.04627600/10,0.04413700/10,0.05025400/10,0.05464400/10,0.06762000/10,0.06280200/10,0.12590700/10,0.15888700/10,0.15798100/10,0.38446500/10,0.73501300/9,0.40790500/8,0.13939800/6,0.10217700/2,0.28559000/4,0.11363800/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.10740700/1
