size,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,7,1,1,0,0,0
450,0,0,0,0,0,0,0,0,0,0,1,2,8,9,10,10,10,10,8,4,0
500,0,0,0,0,0,0,0,0,0,0,1,6,5,10,10,10,10,10,10,10,10
550,0,0,0,0,0,0,0,0,0,0,3,8,8,10,10,10,10,10,10,10,10
600,0,0,0,0,0,0,0,0,0,0,5,8,10,10,10,10,10,10,10,10,10
650,0,0,0,0,0,0,0,0,0,1,5,10,10,10,10,10,10,10,10,10,10
700,0,0,0,0,0,0,0,0,1,6,10,10,10,10,10,10,10,10,10,10,10
750,0,0,0,0,0,0,0,0,1,1,10,10,10,10,10,10,10,10,10,10,10
800,0,0,0,0,0,0,0,0,1,7,10,10,10,10,10,10,10,10,10,10,10
850,0,0,0,0,0,0,0,0,3,6,10,10,10,10,10,10,10,10,10,10,10
900,0,0,0,0,0,0,0,0,6,10,10,10,10,10,10,10,10,10,10,10,10
950,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,10,10,10,10
1000,0,0,0,0,0,0,0,1,9,10,10,10,10,10,10,10,10,10,10,10,10
