file,component,Minimal time,Solve time,CPU Time
c3540-21.txt.txt,20,0.016077,0.021683,0.038575
c3540-20.txt.txt,9,0.020939,0.025159,0.039626
c3540-31.txt.txt,16,0.002004,0.005825,0.020577
c3540-26.txt.txt,10,0.001880,0.005482,0.019201
c3540-76.txt.txt,27,0.007694,0.014109,0.029004
c3540-46.txt.txt,25,0.021591,0.031698,0.047063
c3540-39.txt.txt,24,0.016251,0.023258,0.037889
c3540-27.txt.txt,26,0.005954,0.011788,0.02531
c3540-98.txt.txt,24,0.016141,0.020036,0.036083
c3540-34.txt.txt,12,0.014602,0.018312,0.031988
c3540-74.txt.txt,24,0.008724,0.014543,0.029284
c3540-38.txt.txt,17,0.009121,0.015438,0.030346
c3540-64.txt.txt,12,0.011938,0.018236,0.033268
c3540-87.txt.txt,15,0.036449,0.046185,0.060739
c3540-3.txt.txt,8,0.019955,0.027523,0.040563
c3540-57.txt.txt,26,0.014881,0.021274,0.034873
c3540-79.txt.txt,23,0.010060,0.019827,0.037838
c3540-67.txt.txt,10,0.004488,0.007486,0.022485
c3540-51.txt.txt,18,0.003161,0.011230,0.02747
c3540-94.txt.txt,21,0.018958,0.022994,0.03766
c3540-59.txt.txt,12,0.001207,0.003655,0.01741
c3540-69.txt.txt,9,0.001277,0.003848,0.017675
c3540-70.txt.txt,21,0.035381,0.039855,0.055591
c3540-89.txt.txt,11,0.006113,0.009202,0.022945
c3540-82.txt.txt,27,0.019851,0.027058,0.042411
c3540-85.txt.txt,12,0.006712,0.011801,0.035571
c3540-17.txt.txt,19,0.076791,0.085849,0.099614
c3540-25.txt.txt,11,0.006515,0.009216,0.022032
c3540-44.txt.txt,12,0.004786,0.007797,0.021666
c3540-22.txt.txt,18,0.002177,0.004653,0.018528
c3540-32.txt.txt,18,0.004255,0.007942,0.023232
c3540-13.txt.txt,24,0.022380,0.027665,0.041349
c3540-73.txt.txt,22,0.009844,0.013693,0.027573
c3540-49.txt.txt,9,0.001336,0.003824,0.017576
c3540-88.txt.txt,20,0.013976,0.018560,0.03351
c3540-68.txt.txt,31,0.014318,0.019030,0.033595
c3540-42.txt.txt,25,0.008538,0.015491,0.030567
c3540-10.txt.txt,11,0.004176,0.007346,0.022436
c3540-15.txt.txt,32,0.007406,0.014006,0.026901
c3540-4.txt.txt,16,0.004775,0.009004,0.023576
c3540-93.txt.txt,23,0.002971,0.005775,0.019474
c3540-43.txt.txt,10,0.002923,0.005570,0.020535
c3540-71.txt.txt,13,0.015673,0.021748,0.03743
c3540-8.txt.txt,22,0.009899,0.015614,0.028751
c3540-7.txt.txt,30,0.009517,0.014226,0.029817
c3540-83.txt.txt,14,0.012193,0.023574,0.040755
c3540-35.txt.txt,17,0.016716,0.024666,0.048672
c3540-50.txt.txt,4,0.008160,0.011462,0.034355
c3540-75.txt.txt,13,0.012006,0.017528,0.03233
c3540-97.txt.txt,31,0.037973,0.042131,0.061733
c3540-95.txt.txt,23,0.045684,0.052437,0.066435
c3540-80.txt.txt,24,0.007153,0.010013,0.024685
c3540-96.txt.txt,9,0.015655,0.020541,0.034326
c3540-24.txt.txt,17,0.022855,0.029175,0.041972
c3540-54.txt.txt,17,0.010057,0.014830,0.028653
c3540-78.txt.txt,14,0.004378,0.007193,0.022034
c3540-90.txt.txt,9,0.008099,0.011394,0.025511
c3540-99.txt.txt,8,0.005207,0.010680,0.026065
c3540-92.txt.txt,18,0.011219,0.018053,0.033417
c3540-29.txt.txt,28,0.009221,0.013370,0.028337
c3540-6.txt.txt,15,0.013461,0.019819,0.036053
c3540-60.txt.txt,13,0.005564,0.009673,0.025336
c3540-40.txt.txt,21,0.003723,0.006941,0.027826
c3540-1.txt.txt,17,0.022193,0.027349,0.043655
c3540-30.txt.txt,26,0.010552,0.017528,0.032607
c3540-16.txt.txt,5,0.001269,0.003746,0.02083
c3540-58.txt.txt,32,0.013616,0.018313,0.031827
c3540-81.txt.txt,23,0.052222,0.059442,0.074183
c3540-72.txt.txt,11,0.016744,0.022906,0.035778
c3540-28.txt.txt,21,0.014513,0.018457,0.031318
c3540-47.txt.txt,11,0.010763,0.014643,0.028327
c3540-63.txt.txt,12,0.020785,0.026218,0.041193
c3540-33.txt.txt,24,0.003558,0.007492,0.021837
c3540-36.txt.txt,24,0.008690,0.014186,0.031047
c3540-0.txt.txt,20,0.004787,0.008034,0.023542
c3540-56.txt.txt,20,0.007059,0.012720,0.027212
c3540-48.txt.txt,16,0.003537,0.006162,0.020998
