file,component,Minimal time,Solve time,CPU Time
16-c1908cnf.txt.txt,5,0.000592,0.001800,0.008921
55-c1908cnf.txt.txt,12,0.007260,0.009334,0.017505
43-c1908cnf.txt.txt,6,0.004444,0.005873,0.013874
62-c1908cnf.txt.txt,11,0.011020,0.014771,0.022808
95-c1908cnf.txt.txt,10,0.005621,0.008128,0.015358
14-c1908cnf.txt.txt,12,0.005319,0.007460,0.01461
17-c1908cnf.txt.txt,12,0.008883,0.014119,0.025618
4-c1908cnf.txt.txt,6,0.009650,0.024045,0.032049
98-c1908cnf.txt.txt,11,0.003226,0.005203,0.012327
48-c1908cnf.txt.txt,13,0.002912,0.005025,0.011452
32-c1908cnf.txt.txt,18,0.005683,0.013048,0.024572
26-c1908cnf.txt.txt,15,0.008431,0.011932,0.020057
93-c1908cnf.txt.txt,11,0.009704,0.014658,0.021671
78-c1908cnf.txt.txt,15,0.009510,0.015242,0.023447
36-c1908cnf.txt.txt,13,0.000944,0.002424,0.012567
82-c1908cnf.txt.txt,15,0.007491,0.012622,0.024981
57-c1908cnf.txt.txt,18,0.002413,0.004270,0.012415
97-c1908cnf.txt.txt,10,0.002628,0.004742,0.011889
64-c1908cnf.txt.txt,10,0.004472,0.007942,0.014996
77-c1908cnf.txt.txt,9,0.001518,0.003295,0.011571
22-c1908cnf.txt.txt,20,0.002557,0.004120,0.012439
49-c1908cnf.txt.txt,7,0.007157,0.010300,0.018501
89-c1908cnf.txt.txt,12,0.001736,0.003222,0.01175
80-c1908cnf.txt.txt,14,0.006285,0.010914,0.019282
47-c1908cnf.txt.txt,18,0.006424,0.009617,0.018755
19-c1908cnf.txt.txt,21,0.005278,0.008485,0.015863
23-c1908cnf.txt.txt,13,0.003280,0.005154,0.013483
35-c1908cnf.txt.txt,10,0.003745,0.007085,0.013462
42-c1908cnf.txt.txt,22,0.005048,0.007607,0.014526
31-c1908cnf.txt.txt,11,0.003205,0.006211,0.019289
41-c1908cnf.txt.txt,10,0.004615,0.007831,0.015905
21-c1908cnf.txt.txt,8,0.000566,0.001806,0.009953
33-c1908cnf.txt.txt,14,0.001839,0.003323,0.010591
50-c1908cnf.txt.txt,16,0.003284,0.005392,0.013683
99-c1908cnf.txt.txt,8,0.001935,0.003217,0.009388
40-c1908cnf.txt.txt,11,0.003622,0.005320,0.013613
81-c1908cnf.txt.txt,10,0.009201,0.027863,0.035027
1-c1908cnf.txt.txt,10,0.005664,0.008300,0.015405
28-c1908cnf.txt.txt,20,0.003760,0.007099,0.020208
66-c1908cnf.txt.txt,9,0.013748,0.016067,0.024384
72-c1908cnf.txt.txt,16,0.007467,0.012030,0.018069
12-c1908cnf.txt.txt,11,0.006896,0.011122,0.023129
88-c1908cnf.txt.txt,13,0.007080,0.009822,0.017003
68-c1908cnf.txt.txt,13,0.013233,0.016550,0.0248
70-c1908cnf.txt.txt,6,0.001773,0.003471,0.010482
37-c1908cnf.txt.txt,12,0.008341,0.010484,0.021869
71-c1908cnf.txt.txt,12,0.002810,0.005069,0.013255
20-c1908cnf.txt.txt,13,0.011740,0.014045,0.020994
69-c1908cnf.txt.txt,14,0.002478,0.004602,0.013769
0-c1908cnf.txt.txt,11,0.004681,0.006780,0.015123
