size,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
900,1.09156800/10,1.19952700/10,1.35168200/10,2.72659300/10,7.76453900/10,24.43920500/10,1261.03406000/10,5242.12200000/9,897.05500000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
950,0.90290500/10,1.22065300/10,1.38902100/10,1.77134400/10,6.00578700/10,87.20776600/10,833.18087000/10,1256.50179000/8,2044.32700000/2,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
1000,0.71140300/10,0.88138900/10,0.96682400/10,1.56833600/10,3.99110100/10,13.71575900/10,213.27658000/10,7020.08700000/8,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0,0.00000000/0
