size,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
400,0,0,0,0,0,0,0,0,0,0,0,3,5,9,10,10,10,8,7,3,0
450,0,0,0,0,0,0,0,0,0,0,2,3,10,10,10,10,10,10,10,10,10
