size,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
400,0,0,0,0,0,0,0,0,0,0,1,1,4,8,10,10,10,8,10,8,3
450,0,0,0,0,0,0,0,0,0,0,1,2,8,10,10,10,10,10,10,10,10
500,0,0,0,0,0,0,0,0,0,0,3,6,9,10,10,10,10,10,10,10,10
550,0,0,0,0,0,0,0,0,0,1,6,10,10,10,10,10,10,10,10,10,10
